dateTime_UTC,ax,ay,az,gx,gy,gz,Actividades
1999-01-15 09:29:40.926900,-0.7743,-9.5566,2.7718,80.92,64.16,77.81,
1999-01-15 09:29:40.995900,-0.6954,-9.0204,3.5498,75.94,43.88,35.89,
1999-01-15 09:29:41.064900,-0.4805,-10.2663,2.7958,57.2,16.87,42.46,
1999-01-15 09:29:41.133900,-1.204,-9.7702,6.5957,83.54,36.57,23.38,
1999-01-15 09:29:41.202900,-0.675,-9.9623,5.506,86.46,18.22,8.61,
1999-01-15 09:29:41.271900,-0.5452,-8.3293,5.6927,69.93,31.69,18.85,
1999-01-15 09:29:41.340900,-3.329,-6.2743,5.9805,66.41,48.9,39.21,
1999-01-15 09:29:41.409900,-0.979,-7.4059,6.8853,51.93,43.0,24.02,
1999-01-15 09:29:41.478800,-3.4995,-6.4892,6.6292,38.24,56.6,51.9,
1999-01-15 09:29:41.547800,-2.9149,-6.4646,5.9835,52.59,48.55,43.6,
1999-01-15 09:29:41.616800,-3.7945,-5.6268,6.5586,30.49,20.72,37.29,
1999-01-15 09:29:41.685800,-3.5737,-4.0261,7.7027,14.58,3.59,33.25,
1999-01-15 09:29:41.754800,-4.4073,-5.0458,7.3126,17.3,-0.28,28.98,
1999-01-15 09:29:41.823800,-4.6449,-5.0183,7.0277,16.29,-1.39,13.26,
1999-01-15 09:29:41.892800,-3.9004,-1.739,6.2953,0.53,-3.38,-16.58,
1999-01-15 09:29:41.961800,-4.7131,-7.6022,8.8517,-15.05,8.64,1.96,
1999-01-15 09:29:42.030800,-5.5233,-4.7298,6.4969,-23.71,37.39,-11.21,
1999-01-15 09:29:42.099800,-5.0368,-3.7921,6.3348,-13.06,18.29,7.96,
1999-01-15 09:29:42.168800,-5.6179,-5.7693,6.6615,-0.63,9.32,7.71,
1999-01-15 09:29:42.237800,-5.4503,-5.1451,7.7751,-9.35,7.49,-0.84,
1999-01-15 09:29:42.306700,-4.9752,-4.6604,6.3252,-23.2,5.11,1.26,
1999-01-15 09:29:42.375700,-4.6125,-5.7507,6.6591,-11.77,-5.15,3.25,
1999-01-15 09:29:42.444700,-4.3367,-4.9429,6.2893,-7.56,12.62,-2.71,
1999-01-15 09:29:42.513700,-5.4928,-4.7729,6.1355,-1.17,7.51,-1.24,
1999-01-15 09:29:42.582700,-5.3582,-5.1254,6.2001,-3.49,3.96,2.7,
1999-01-15 09:29:42.651700,-4.9602,-6.5855,6.6292,-3.19,3.0,13.62,
1999-01-15 09:29:42.720700,-6.0314,-4.305,7.9457,-33.22,34.04,0.65,
1999-01-15 09:29:42.789700,-4.9812,-4.8537,6.0284,-23.06,29.14,14.32,
1999-01-15 09:29:42.858700,-5.6322,-5.3223,4.5282,-23.54,27.87,3.47,
1999-01-15 09:29:42.927700,-4.8812,-5.3474,4.2726,-4.3,-9.68,-5.68,
1999-01-15 09:29:42.996700,-6.4305,-6.1923,6.78,-17.54,-5.4,-24.77,
1999-01-15 09:29:43.065700,-5.4832,-5.6268,6.1995,13.76,-14.49,-20.32,
1999-01-15 09:29:43.134600,-4.9459,-6.7602,6.2055,-3.5,-7.29,-9.56,
1999-01-15 09:29:43.203600,-5.1421,-5.2708,5.9985,-12.69,-4.04,-8.49,
1999-01-15 09:29:43.272600,-5.3833,-6.4485,5.8435,-5.1,2.7,12.09,
1999-01-15 09:29:43.341600,-5.6741,-5.874,6.1331,-9.69,7.66,8.55,
1999-01-15 09:29:43.410600,-5.4575,-6.2001,5.0123,-3.19,16.11,24.85,
1999-01-15 09:29:43.479600,-5.9476,-5.6675,5.3881,-11.93,11.38,25.39,
1999-01-15 09:29:43.548600,-5.9392,-5.8459,5.4222,4.44,3.48,26.36,
1999-01-15 09:29:43.617600,-6.7381,-5.266,6.1672,-11.15,18.27,45.12,
1999-01-15 09:29:43.686600,-7.5394,-7.1552,2.1698,19.85,18.62,31.26,
1999-01-15 09:29:43.755600,-6.0912,-5.4515,4.594,-10.63,4.39,11.57,
1999-01-15 09:29:43.824600,-7.3497,-4.8621,4.5443,-8.09,3.35,-5.25,
1999-01-15 09:29:43.893500,-7.607,-3.0268,4.7771,-13.73,-32.01,-40.11,
1999-01-15 09:29:43.962500,-7.1384,-6.6256,6.5107,-22.53,-15.21,-34.24,
1999-01-15 09:29:44.031500,-6.3348,-5.4437,5.0991,0.88,-16.66,-17.97,
1999-01-15 09:29:44.100500,-5.8949,-5.7334,5.8662,-4.75,-21.46,0.84,
1999-01-15 09:29:44.169500,-6.306,-6.2863,7.3975,-28.97,-2.92,-9.72,
1999-01-15 09:29:44.238500,-4.67,-6.7118,3.4624,-3.08,4.84,10.55,
1999-01-15 09:29:44.307500,-5.7082,-5.4527,5.3647,-14.36,12.5,14.34,
1999-01-15 09:29:44.376500,-6.4138,-5.9685,5.1224,-17.12,5.54,-21.96,
1999-01-15 09:29:44.445500,-5.956,-6.9864,5.5281,-8.97,4.64,-18.65,
1999-01-15 09:29:44.514500,-5.5802,-6.6705,4.5503,-12.56,1.9,-14.53,
1999-01-15 09:29:44.583500,-5.7729,-6.8207,4.5916,-20.48,-0.88,-35.94,
1999-01-15 09:29:44.652500,-5.2169,-7.7039,4.4115,-30.59,-1.52,-81.23,
1999-01-15 09:29:44.721400,-3.9639,-8.0528,4.278,-46.73,-10.85,-63.17,
1999-01-15 09:29:44.790400,-2.9226,-9.4381,3.621,-46.82,-13.89,-67.1,
1999-01-15 09:29:44.859400,-2.9065,-8.4208,2.4625,-45.61,2.24,-104.11,
1999-01-15 09:29:44.928400,-0.7516,-8.577,2.3332,-87.1,-38.19,-63.88,
1999-01-15 09:29:44.997400,-0.5314,-9.5405,1.3416,-60.27,-68.08,-66.93,
1999-01-15 09:29:45.066400,0.2382,-10.091,1.8096,-46.19,-66.74,-51.9,
1999-01-15 09:29:45.135400,0.4291,-9.8361,1.3362,-42.1,-58.0,-38.38,
1999-01-15 09:29:45.204400,2.7928,-9.2754,-0.3417,-77.3,-85.85,-61.13,
1999-01-15 09:29:45.273400,1.9454,-9.7798,-0.4608,-103.0,-95.79,-111.35,
1999-01-15 09:29:45.342400,3.7425,-8.6482,-8.3819,-167.66,-65.88,-170.65,
1999-01-15 09:29:45.411400,3.2326,-8.7793,-4.3846,-118.79,-99.28,-145.88,
1999-01-15 09:29:45.480400,6.3216,-5.7824,-5.3408,-102.55,-66.42,-104.65,
1999-01-15 09:29:45.549300,4.9955,-5.4527,-7.2575,-83.4,-48.63,-60.49,
1999-01-15 09:29:45.618300,4.4049,-3.7347,-7.3694,-68.9,-41.15,-35.53,
1999-01-15 09:29:45.687300,4.059,-2.8742,-7.3329,-61.14,-37.67,-30.58,
1999-01-15 09:29:45.756300,5.184,-3.8011,-8.1485,-66.97,-46.08,-22.01,
1999-01-15 09:29:45.825300,4.0201,-1.9077,-9.0492,-37.14,-13.93,-47.75,
1999-01-15 09:29:45.894300,4.1949,-1.6265,-8.121,-4.05,2.33,-60.04,
1999-01-15 09:29:45.963300,4.8166,0.0862,-10.4895,4.27,39.52,-11.14,
1999-01-15 09:29:46.032300,4.9889,-1.5355,-8.644,0.85,66.69,19.09,
1999-01-15 09:29:46.101300,5.5096,-1.2501,-8.4077,0.74,21.59,5.02,
1999-01-15 09:29:46.170300,4.9231,-1.8269,-8.2485,2.82,5.69,0.04,
1999-01-15 09:29:46.239300,5.4892,-2.5403,-8.5914,6.16,-20.64,-18.42,
1999-01-15 09:29:46.308300,5.2277,-2.3733,-8.7494,23.36,-22.94,5.59,
1999-01-15 09:29:46.377200,4.8705,-1.8234,-9.1832,-17.81,-25.57,3.15,
1999-01-15 09:29:46.446200,4.3199,-2.0071,-9.7918,-4.05,-9.12,-28.55,
1999-01-15 09:29:46.515200,6.6507,-1.423,-11.9155,-16.56,-35.72,-40.4,
1999-01-15 09:29:46.584200,2.6204,-0.8144,-8.7853,-13.64,-80.63,-27.68,
1999-01-15 09:29:46.653200,1.9867,-1.2985,-8.9462,28.0,-127.71,-15.59,
1999-01-15 09:29:46.722200,0.5757,-2.0573,-10.2729,48.29,-87.63,-19.89,
1999-01-15 09:29:46.791200,1.3548,-2.1088,-9.0719,44.44,-24.97,3.24,
1999-01-15 09:29:46.860200,0.4865,-2.5438,-10.4153,16.4,-8.37,8.17,
1999-01-15 09:29:46.929200,-0.1011,-2.4792,-9.319,12.28,-11.22,14.11,
1999-01-15 09:29:46.998200,0.7923,-2.8395,-9.9402,12.01,-17.71,12.86,
1999-01-15 09:29:47.067200,-0.4727,-2.8341,-9.9797,15.79,18.13,2.02,
1999-01-15 09:29:47.136200,0.3543,-2.8359,-9.8319,11.18,-13.83,-12.22,
1999-01-15 09:29:47.205100,0.1568,-2.6426,-8.963,3.69,-9.81,-21.61,
