dateTime_UTC,ax,ay,az,gx,gy,gz
1999-01-15 09:29:37.9603,3.6078,-4.0076,7.0331,-46.59,-24.76,-45.35
1999-01-15 09:29:38.0293,4.0907,-5.4641,5.7597,-77.51,-52.97,-41.4
1999-01-15 09:29:38.0983,8.0331,-7.0074,6.2306,-95.19,-50.6,-32.11
1999-01-15 09:29:38.1673,7.1031,-7.0505,-3.9908,-177.82,-68.34,14.61
1999-01-15 09:29:38.2362,8.3508,-7.1372,4.5024,-122.61,-59.12,11.15
1999-01-15 09:29:38.3052,6.5179,-6.9793,2.5785,-71.25,-84.8,-29.06
1999-01-15 09:29:38.3742,7.5902,-6.4742,-0.5212,-48.26,-91.8,16.51
1999-01-15 09:29:38.4432,5.6502,-7.4502,-0.4686,-29.9,-70.36,-39.73
1999-01-15 09:29:38.5122,7.3138,-6.0733,-2.1357,-32.07,-77.27,-29.46
1999-01-15 09:29:38.5812,11.0185,-2.1489,-4.454,-26.92,-77.58,-19.86
1999-01-15 09:29:38.6502,5.6562,-8.8607,2.6234,42.61,-73.87,46.67
1999-01-15 09:29:38.7192,5.2068,-6.0374,-2.9962,-28.71,-70.74,24.25
1999-01-15 09:29:38.7882,7.829,-4.3349,-4.3121,-57.15,-72.13,19.83
1999-01-15 09:29:38.8572,5.7872,-6.783,-6.3533,-54.85,-36.72,10.51
1999-01-15 09:29:38.9262,5.4653,-6.2995,-4.7209,-40.16,-63.16,-23.3
1999-01-15 09:29:38.9952,5.1134,-4.5563,-7.0505,-22.34,-63.66,-42.46
1999-01-15 09:29:39.0641,6.9242,-5.7956,-6.032,-21.28,-72.85,-28.64
1999-01-15 09:29:39.1331,3.4271,-5.2133,-9.1712,-33.3,-80.99,-38.61
1999-01-15 09:29:39.2021,9.6176,-4.0309,-9.3543,-38.01,-102.26,-37.89
1999-01-15 09:29:39.2711,4.962,-4.4677,-8.5932,-2.13,-58.34,-25.93
1999-01-15 09:29:39.3401,6.2887,-2.9801,-10.0904,73.12,-28.5,0.06
1999-01-15 09:29:39.4091,1.0466,-4.3648,-7.5106,27.36,-53.03,-63.66
1999-01-15 09:29:39.4781,2.6492,-3.1249,-8.3879,18.97,-7.28,-59.38
1999-01-15 09:29:39.5471,3.8125,-3.764,-7.9828,-34.25,44.14,-48.82
1999-01-15 09:29:39.6161,4.2858,-2.2369,-8.4633,-5.64,114.42,4.71
1999-01-15 09:29:39.6851,4.5575,-3.0746,-3.8137,67.26,100.22,103.79
1999-01-15 09:29:39.7541,4.8471,-6.5083,-9.2317,8.12,-39.07,63.56
1999-01-15 09:29:39.8231,4.3355,-3.6581,-10.003,63.25,-9.42,31.38
1999-01-15 09:29:39.8920,3.7646,-4.8806,-6.9338,50.71,-21.85,-75.98
1999-01-15 09:29:39.9610,4.5072,-4.3307,-8.2443,-88.71,-101.9,-60.03
1999-01-15 09:29:40.0300,5.0434,-3.3092,-10.4195,-23.58,-32.45,-32.75
1999-01-15 09:29:40.0990,3.6222,-3.4427,-7.689,-3.45,-3.53,-6.83
1999-01-15 09:29:40.1680,3.2141,-3.0268,-9.4285,-7.1,-17.86,5.96
1999-01-15 09:29:40.2370,2.1639,-1.9077,-9.0138,16.57,-8.72,-10.76
1999-01-15 09:29:40.3060,4.7651,-5.0991,-10.1083,73.26,-20.2,10.9
1999-01-15 09:29:40.3750,6.3228,-4.3696,-5.874,75.0,20.18,36.57
1999-01-15 09:29:40.4440,0.4273,-5.1697,-5.202,63.25,83.2,10.89
1999-01-15 09:29:40.5130,1.8599,-5.0973,-5.6209,84.19,138.31,20.13
1999-01-15 09:29:40.5820,4.8334,-7.2485,-5.7902,73.65,113.52,64.1
1999-01-15 09:29:40.6509,3.0531,-6.7758,-2.8454,88.69,106.94,81.39
1999-01-15 09:29:40.7199,4.5479,-10.9689,-1.8976,140.0,102.43,114.21
1999-01-15 09:29:40.7889,2.0053,-8.9265,0.3961,131.52,108.36,119.37
1999-01-15 09:29:40.8579,1.1166,-10.7732,2.0579,90.73,81.83,102.87
1999-01-15 09:29:40.9269,-0.7743,-9.5566,2.7718,80.92,64.16,77.81
1999-01-15 09:29:40.9959,-0.6954,-9.0204,3.5498,75.94,43.88,35.89
1999-01-15 09:29:41.0649,-0.4805,-10.2663,2.7958,57.2,16.87,42.46
1999-01-15 09:29:41.1339,-1.204,-9.7702,6.5957,83.54,36.57,23.38
1999-01-15 09:29:41.2029,-0.675,-9.9623,5.506,86.46,18.22,8.61
1999-01-15 09:29:41.2719,-0.5452,-8.3293,5.6927,69.93,31.69,18.85
1999-01-15 09:29:41.3409,-3.329,-6.2743,5.9805,66.41,48.9,39.21
1999-01-15 09:29:41.4099,-0.979,-7.4059,6.8853,51.93,43.0,24.02
1999-01-15 09:29:41.4788,-3.4995,-6.4892,6.6292,38.24,56.6,51.9
1999-01-15 09:29:41.5478,-2.9149,-6.4646,5.9835,52.59,48.55,43.6
1999-01-15 09:29:41.6168,-3.7945,-5.6268,6.5586,30.49,20.72,37.29
1999-01-15 09:29:41.6858,-3.5737,-4.0261,7.7027,14.58,3.59,33.25
1999-01-15 09:29:41.7548,-4.4073,-5.0458,7.3126,17.3,-0.28,28.98
1999-01-15 09:29:41.8238,-4.6449,-5.0183,7.0277,16.29,-1.39,13.26
1999-01-15 09:29:41.8928,-3.9004,-1.739,6.2953,0.53,-3.38,-16.58
1999-01-15 09:29:41.9618,-4.7131,-7.6022,8.8517,-15.05,8.64,1.96
1999-01-15 09:29:42.0308,-5.5233,-4.7298,6.4969,-23.71,37.39,-11.21
1999-01-15 09:29:42.0998,-5.0368,-3.7921,6.3348,-13.06,18.29,7.96
1999-01-15 09:29:42.1688,-5.6179,-5.7693,6.6615,-0.63,9.32,7.71
1999-01-15 09:29:42.2378,-5.4503,-5.1451,7.7751,-9.35,7.49,-0.84
1999-01-15 09:29:42.3067,-4.9752,-4.6604,6.3252,-23.2,5.11,1.26
1999-01-15 09:29:42.3757,-4.6125,-5.7507,6.6591,-11.77,-5.15,3.25
1999-01-15 09:29:42.4447,-4.3367,-4.9429,6.2893,-7.56,12.62,-2.71
1999-01-15 09:29:42.5137,-5.4928,-4.7729,6.1355,-1.17,7.51,-1.24
1999-01-15 09:29:42.5827,-5.3582,-5.1254,6.2001,-3.49,3.96,2.7
1999-01-15 09:29:42.6517,-4.9602,-6.5855,6.6292,-3.19,3.0,13.62
1999-01-15 09:29:42.7207,-6.0314,-4.305,7.9457,-33.22,34.04,0.65
1999-01-15 09:29:42.7897,-4.9812,-4.8537,6.0284,-23.06,29.14,14.32
1999-01-15 09:29:42.8587,-5.6322,-5.3223,4.5282,-23.54,27.87,3.47
1999-01-15 09:29:42.9277,-4.8812,-5.3474,4.2726,-4.3,-9.68,-5.68
1999-01-15 09:29:42.9967,-6.4305,-6.1923,6.78,-17.54,-5.4,-24.77
1999-01-15 09:29:43.0657,-5.4832,-5.6268,6.1995,13.76,-14.49,-20.32
1999-01-15 09:29:43.1346,-4.9459,-6.7602,6.2055,-3.5,-7.29,-9.56
1999-01-15 09:29:43.2036,-5.1421,-5.2708,5.9985,-12.69,-4.04,-8.49
1999-01-15 09:29:43.2726,-5.3833,-6.4485,5.8435,-5.1,2.7,12.09
1999-01-15 09:29:43.3416,-5.6741,-5.874,6.1331,-9.69,7.66,8.55
1999-01-15 09:29:43.4106,-5.4575,-6.2001,5.0123,-3.19,16.11,24.85
1999-01-15 09:29:43.4796,-5.9476,-5.6675,5.3881,-11.93,11.38,25.39
1999-01-15 09:29:43.5486,-5.9392,-5.8459,5.4222,4.44,3.48,26.36
1999-01-15 09:29:43.6176,-6.7381,-5.266,6.1672,-11.15,18.27,45.12
1999-01-15 09:29:43.6866,-7.5394,-7.1552,2.1698,19.85,18.62,31.26
1999-01-15 09:29:43.7556,-6.0912,-5.4515,4.594,-10.63,4.39,11.57
1999-01-15 09:29:43.8246,-7.3497,-4.8621,4.5443,-8.09,3.35,-5.25
1999-01-15 09:29:43.8935,-7.607,-3.0268,4.7771,-13.73,-32.01,-40.11
1999-01-15 09:29:43.9625,-7.1384,-6.6256,6.5107,-22.53,-15.21,-34.24
1999-01-15 09:29:44.0315,-6.3348,-5.4437,5.0991,0.88,-16.66,-17.97
1999-01-15 09:29:44.1005,-5.8949,-5.7334,5.8662,-4.75,-21.46,0.84
1999-01-15 09:29:44.1695,-6.306,-6.2863,7.3975,-28.97,-2.92,-9.72
1999-01-15 09:29:44.2385,-4.67,-6.7118,3.4624,-3.08,4.84,10.55
1999-01-15 09:29:44.3075,-5.7082,-5.4527,5.3647,-14.36,12.5,14.34
1999-01-15 09:29:44.3765,-6.4138,-5.9685,5.1224,-17.12,5.54,-21.96
1999-01-15 09:29:44.4455,-5.956,-6.9864,5.5281,-8.97,4.64,-18.65
1999-01-15 09:29:44.5145,-5.5802,-6.6705,4.5503,-12.56,1.9,-14.53
1999-01-15 09:29:44.5835,-5.7729,-6.8207,4.5916,-20.48,-0.88,-35.94
1999-01-15 09:29:44.6525,-5.2169,-7.7039,4.4115,-30.59,-1.52,-81.23
1999-01-15 09:29:44.7214,-3.9639,-8.0528,4.278,-46.73,-10.85,-63.17
1999-01-15 09:29:44.7904,-2.9226,-9.4381,3.621,-46.82,-13.89,-67.1
1999-01-15 09:29:44.8594,-2.9065,-8.4208,2.4625,-45.61,2.24,-104.11
1999-01-15 09:29:44.9284,-0.7516,-8.577,2.3332,-87.1,-38.19,-63.88
1999-01-15 09:29:44.9974,-0.5314,-9.5405,1.3416,-60.27,-68.08,-66.93
1999-01-15 09:29:45.0664,0.2382,-10.091,1.8096,-46.19,-66.74,-51.9
1999-01-15 09:29:45.1354,0.4291,-9.8361,1.3362,-42.1,-58.0,-38.38
1999-01-15 09:29:45.2044,2.7928,-9.2754,-0.3417,-77.3,-85.85,-61.13
1999-01-15 09:29:45.2734,1.9454,-9.7798,-0.4608,-103.0,-95.79,-111.35
1999-01-15 09:29:45.3424,3.7425,-8.6482,-8.3819,-167.66,-65.88,-170.65
1999-01-15 09:29:45.4114,3.2326,-8.7793,-4.3846,-118.79,-99.28,-145.88
1999-01-15 09:29:45.4804,6.3216,-5.7824,-5.3408,-102.55,-66.42,-104.65
1999-01-15 09:29:45.5493,4.9955,-5.4527,-7.2575,-83.4,-48.63,-60.49
1999-01-15 09:29:45.6183,4.4049,-3.7347,-7.3694,-68.9,-41.15,-35.53
1999-01-15 09:29:45.6873,4.059,-2.8742,-7.3329,-61.14,-37.67,-30.58
1999-01-15 09:29:45.7563,5.184,-3.8011,-8.1485,-66.97,-46.08,-22.01
1999-01-15 09:29:45.8253,4.0201,-1.9077,-9.0492,-37.14,-13.93,-47.75
1999-01-15 09:29:45.8943,4.1949,-1.6265,-8.121,-4.05,2.33,-60.04
1999-01-15 09:29:45.9633,4.8166,0.0862,-10.4895,4.27,39.52,-11.14
1999-01-15 09:29:46.0323,4.9889,-1.5355,-8.644,0.85,66.69,19.09
1999-01-15 09:29:46.1013,5.5096,-1.2501,-8.4077,0.74,21.59,5.02
1999-01-15 09:29:46.1703,4.9231,-1.8269,-8.2485,2.82,5.69,0.04
1999-01-15 09:29:46.2393,5.4892,-2.5403,-8.5914,6.16,-20.64,-18.42
1999-01-15 09:29:46.3083,5.2277,-2.3733,-8.7494,23.36,-22.94,5.59
1999-01-15 09:29:46.3772,4.8705,-1.8234,-9.1832,-17.81,-25.57,3.15
1999-01-15 09:29:46.4462,4.3199,-2.0071,-9.7918,-4.05,-9.12,-28.55
1999-01-15 09:29:46.5152,6.6507,-1.423,-11.9155,-16.56,-35.72,-40.4
1999-01-15 09:29:46.5842,2.6204,-0.8144,-8.7853,-13.64,-80.63,-27.68
1999-01-15 09:29:46.6532,1.9867,-1.2985,-8.9462,28.0,-127.71,-15.59
1999-01-15 09:29:46.7222,0.5757,-2.0573,-10.2729,48.29,-87.63,-19.89
1999-01-15 09:29:46.7912,1.3548,-2.1088,-9.0719,44.44,-24.97,3.24
1999-01-15 09:29:46.8602,0.4865,-2.5438,-10.4153,16.4,-8.37,8.17
1999-01-15 09:29:46.9292,-0.1011,-2.4792,-9.319,12.28,-11.22,14.11
1999-01-15 09:29:46.9982,0.7923,-2.8395,-9.9402,12.01,-17.71,12.86
1999-01-15 09:29:47.0672,-0.4727,-2.8341,-9.9797,15.79,18.13,2.02
1999-01-15 09:29:47.1362,0.3543,-2.8359,-9.8319,11.18,-13.83,-12.22
1999-01-15 09:29:47.2051,0.1568,-2.6426,-8.963,3.69,-9.81,-21.61
1999-01-15 09:29:47.2741,0.079,-3.1548,-9.6236,-3.39,-17.1,-6.89
1999-01-15 09:29:47.3431,-0.8856,-2.794,-9.3412,-0.96,-29.07,2.42
1999-01-15 09:29:47.4121,-2.0926,-3.8346,-9.8953,7.14,-3.7,30.48
1999-01-15 09:29:47.4811,-1.5487,-3.1626,-10.6224,14.11,2.19,-4.7
1999-01-15 09:29:47.5501,-1.3739,-3.3313,-9.7307,-0.49,-0.34,0.25
1999-01-15 09:29:47.6191,-1.1489,-3.8837,-9.2454,8.23,26.32,-5.07
1999-01-15 09:29:47.6881,-0.1544,-3.2925,-9.4698,10.75,19.32,-7.88
1999-01-15 09:29:47.7571,-0.3453,-3.4139,-9.1473,-3.95,6.62,-2.15
1999-01-15 09:29:47.8261,-0.3094,-3.3433,-9.6643,-2.77,6.94,-0.71
1999-01-15 09:29:47.8951,0.0389,-3.2721,-9.4447,-11.26,18.0,10.27
1999-01-15 09:29:47.9640,-0.0377,-2.6492,-9.7655,-11.38,-12.5,16.94
1999-01-15 09:29:48.0330,0.5864,-2.7282,-9.7822,-11.64,-12.47,90.48
1999-01-15 09:29:48.1020,-3.1829,-1.8551,-9.8085,-4.02,-12.47,57.16
1999-01-15 09:29:48.1710,-1.5451,-2.7341,-9.4716,9.25,19.16,10.67
1999-01-15 09:29:48.2400,-0.2017,-3.1835,-10.1819,19.15,24.18,3.12
1999-01-15 09:29:48.3090,-0.9934,-3.3708,-9.5416,18.86,15.88,-1.07
1999-01-15 09:29:48.3780,-2.0131,-3.4367,-9.5746,12.32,17.2,-37.47
1999-01-15 09:29:48.4470,-0.3345,-3.6491,-9.7888,20.81,23.25,-38.68
1999-01-15 09:29:48.5160,0.3441,-4.1572,-8.8068,14.6,14.28,-16.68
1999-01-15 09:29:48.5850,0.1658,-3.9094,-9.2939,7.38,22.08,-7.17
1999-01-15 09:29:48.6540,0.4321,-3.9513,-9.4704,15.21,46.17,-15.21
1999-01-15 09:29:48.7230,1.715,-4.0955,-8.9456,3.01,43.41,-4.85
1999-01-15 09:29:48.7919,2.6366,-4.3498,-9.5016,-3.65,39.26,-8.93
1999-01-15 09:29:48.8609,2.2375,-3.7879,-9.1485,7.58,16.0,5.18
1999-01-15 09:29:48.9299,1.8982,-4.3056,-8.501,17.33,-15.17,4.41
1999-01-15 09:29:48.9989,1.4446,-3.9812,-8.9702,-5.01,-34.19,-2.15
