dateTime_UTC,ax,ay,az,gx,gy,gz
1999-01-02 04:00:09.6767,-0.5858,-0.5481,-10.3687,-2.46,-7.32,3.66
1999-01-02 04:00:09.7457,-0.003,-0.6421,-10.0156,-6.92,-6.16,1.9
1999-01-02 04:00:09.8147,-1.1645,-0.6397,-10.5512,-2.32,17.05,11.01
1999-01-02 04:00:09.8837,-0.6277,-0.2489,-10.5769,-3.4,23.7,5.52
1999-01-02 04:00:09.9527,-0.5021,-0.359,-9.7493,-1.88,16.49,4.73
1999-01-02 04:00:10.0217,-0.3447,-0.1167,-10.143,-2.49,7.47,1.9
1999-01-02 04:00:10.0907,0.0215,-0.0706,-10.0718,-4.86,10.32,1.65
1999-01-02 04:00:10.1597,0.0928,-0.1951,-9.8911,-2.25,10.27,-1.54
1999-01-02 04:00:10.2287,0.2178,0.1406,-9.4214,-11.15,-2.52,-2.14
1999-01-02 04:00:10.2977,-0.1741,0.2477,-9.72,-7.22,-1.9,0.52
1999-01-02 04:00:10.3666,-0.2376,0.3321,-9.8193,-5.74,8.18,-4.06
1999-01-02 04:00:10.4356,-0.0904,0.3734,-10.0323,-2.33,-6.45,3.96
1999-01-02 04:00:10.5046,-0.5721,0.3321,-9.8229,-5.47,-4.66,2.19
1999-01-02 04:00:10.5736,0.0168,0.1442,-9.9743,-2.0,2.04,0.37
1999-01-02 04:00:10.6426,-0.0048,0.1131,-10.012,1.56,-0.8,0.33
1999-01-02 04:00:10.7116,-0.0102,0.1293,-10.0252,0.3,-1.13,1.1
1999-01-02 04:00:10.7806,-0.2771,0.234,-10.2077,2.33,-2.32,-0.46
1999-01-02 04:00:10.8496,-0.222,0.2394,-9.9803,1.18,0.51,-0.09
1999-01-02 04:00:10.9186,0.0186,0.0521,-10.3028,1.15,11.45,0.04
1999-01-02 04:00:10.9876,-0.4757,0.3878,-9.9486,-0.14,-0.38,3.26
1999-01-02 04:00:11.0566,-0.2711,-0.0383,-10.0515,1.01,5.5,1.33
1999-01-02 04:00:11.1256,-0.2202,0.1137,-9.9228,-1.03,-4.2,1.31
1999-01-02 04:00:11.1946,-0.5846,0.0951,-9.7547,2.9,0.52,1.62
1999-01-02 04:00:11.2636,0.1903,0.164,-10.2179,1.73,4.01,2.38
1999-01-02 04:00:11.3325,-0.152,0.0473,-10.2759,-0.93,0.86,2.49
1999-01-02 04:00:11.4015,-0.368,0.1131,-9.9653,0.11,2.23,0.21
1999-01-02 04:00:11.4705,-0.2501,0.0257,-10.0509,-1.37,7.04,0.44
1999-01-02 04:00:11.5395,-0.1771,0.1562,-10.219,0.32,6.3,0.93
1999-01-02 04:00:11.6085,0.0126,0.1406,-10.0952,-0.59,-1.59,-1.74
1999-01-02 04:00:11.6775,-0.3184,0.2878,-9.8121,-1.48,-0.61,0.85
1999-01-02 04:00:11.7465,-0.1394,0.1035,-10.0724,1.47,-0.13,1.26
1999-01-02 04:00:11.8155,-0.058,0.1771,-10.0234,-1.38,1.72,0.52
1999-01-02 04:00:11.8845,-0.5164,0.1789,-10.4596,1.94,6.86,0.04
1999-01-02 04:00:11.9535,-0.1771,0.2082,-9.9946,0.08,1.65,-1.68
1999-01-02 04:00:12.0225,-0.6301,0.2208,-9.9073,-1.0,1.37,0.27
1999-01-02 04:00:12.0915,-0.3201,0.2118,-10.1574,0.39,3.52,0.52
